#{"t_start": 1733529361.793109, "env_id": "BipedalWalker-v3"}
r,l,t
-103.386006,90,74.223604
-103.332735,90,74.251574
-103.910739,92,74.278767
-103.062759,85,74.303981
-103.593832,88,74.331422
-114.812168,100,143.418445
-114.934215,97,143.446695
-114.645317,97,143.473942
-114.807238,97,143.502397
-143.096354,232,143.565412
-73.189667,1600,213.970671
-75.644403,1600,214.393478
-67.717304,1600,214.830216
-75.676725,1600,215.254573
-73.607208,1600,215.680588
-120.237771,56,294.476675
-120.228604,56,294.495449
-120.119131,56,294.513726
-119.947142,56,294.532701
-120.138961,56,294.550829
-42.4694,1600,375.521565
-122.277324,97,375.553805
-125.377122,140,375.598687
-52.219773,1600,376.082964
-122.761525,99,376.115696
-74.335119,1600,456.618743
-76.134561,1600,457.153528
-75.77952,1600,457.650962
-64.263463,1600,458.135974
-59.321998,1600,458.602999
-133.513113,152,565.320955
-35.099343,1600,565.803699
-39.647534,1600,566.304649
-51.505828,1600,566.790497
-39.420865,1600,567.288143
-47.314772,1600,679.07505
-48.796522,1600,679.661741
-35.374857,1600,680.182617
-34.155873,1600,680.710671
-34.25471,1600,681.242164
-120.628678,74,792.691329
-124.375807,171,792.744559
-119.109414,69,792.768624
-119.075001,69,792.792443
-119.930704,72,792.817357
-62.681782,1600,910.178358
-56.192354,1600,910.718062
-58.088474,1600,911.247062
-112.185479,110,911.28379
-121.708864,210,911.351011
-38.693223,1600,1033.941014
-46.145895,1600,1034.498138
-40.45964,1600,1035.048501
-48.316096,1600,1035.582545
-41.53446,1600,1036.109082
-78.892961,1600,1163.21523
-48.371754,1600,1163.721195
-52.686081,1600,1164.244114
-54.259966,1600,1164.745369
-57.115906,1600,1165.245169
-74.775862,1600,1275.876086
-55.311282,1600,1276.3547
-59.955357,1600,1276.827579
-57.966279,1600,1277.363982
-42.911055,1600,1277.869615
-97.666688,1600,1385.56224
-99.365662,1600,1386.051912
-99.092252,1600,1386.541635
-87.497242,1600,1387.038488
-69.566314,1600,1387.502898
-178.746473,1080,1484.202989
-141.626956,455,1484.341175
-120.797564,1600,1485.060364
-143.62163,479,1485.25409
-149.320424,504,1485.417838
-128.916534,115,1586.291803
-127.182728,109,1586.329332
-131.58365,121,1586.372035
-119.664819,75,1586.398369
-132.539064,123,1586.440086
-75.287339,1600,1683.306038
-62.536633,1600,1683.894751
-63.824471,1600,1684.4535
-75.191944,1600,1685.057109
-73.668338,1600,1685.627296
-74.952648,1600,1782.968276
-77.551141,1600,1783.451417
-77.047284,1600,1783.943295
-77.739055,1600,1784.515813
-78.181385,1600,1785.062834
-46.834494,1600,2057.104498
-44.78772,1600,2060.110918
-44.474799,1600,2062.945657
-47.938051,1600,2065.820579
-43.776137,1600,2068.800108
-59.334777,1600,2667.240157
-60.207521,1600,2670.551608
-54.995414,1600,2673.656377
-59.696914,1600,2676.75875
-56.735768,1600,2679.872659
-45.52548,1600,3254.505407
-47.833385,1600,3254.920711
-58.363889,1600,3255.356373
-69.318182,1600,3255.78509
-40.479766,1600,3256.194077
-35.853919,1600,3336.381712
-34.631485,1600,3336.750118
-120.483111,125,3336.780738
-126.652189,114,3336.809356
-35.454543,1600,3337.183583
-37.566923,1600,3424.777328
-31.871181,1600,3425.28185
-36.992461,1600,3425.739987
-133.16075,184,3425.798289
-35.371289,1600,3426.25216
-41.414122,1600,3510.830936
-37.806058,1600,3511.243962
-38.228549,1600,3511.655928
-40.059662,1600,3512.06734
-41.172417,1600,3512.479042
-92.206926,1600,3598.250769
-64.474923,1600,3598.681622
-74.237884,1600,3599.112357
-94.109593,1600,3599.579393
-88.543052,1600,3600.024599
-87.034281,1600,3686.366848
-27.12148,1600,3686.798522
-90.028858,1600,3687.254341
-87.476496,1600,3687.727972
-87.303856,1600,3688.18408
-52.722892,1600,3773.325595
-52.508562,1600,3773.803712
-113.975711,348,3773.897083
-62.24654,1600,3774.335104
-110.955147,175,3774.384584
-109.315308,92,3863.225799
-80.994007,1600,3863.669177
-116.788907,193,3863.723455
-79.587417,1600,3864.160259
-70.563952,1600,3864.592105
-63.587751,1600,3950.588871
-105.874502,105,3950.619881
-106.693035,107,3950.651454
-108.497477,102,3950.681972
-60.977192,1600,3951.107939
-109.992366,146,4043.847416
-95.903882,176,4043.897377
-95.629669,153,4043.940576
-85.268676,1600,4044.384096
-111.041144,117,4044.418181
-107.753858,1600,4136.119025
-105.399807,1600,4136.570958
-52.131142,1600,4137.02718
-102.507749,1600,4137.473937
-111.468537,1600,4137.927655
-89.351909,145,4225.149949
-106.829339,134,4225.192611
-92.186101,148,4225.238646
-102.080664,110,4225.271906
-105.213886,121,4225.307832
-76.805439,1600,4330.734638
-70.775302,1600,4331.210827
-67.587921,1600,4331.677474
-72.834609,1600,4332.137193
-142.766036,298,4332.239331
-128.092465,186,4419.437572
-114.666977,60,4419.455713
-113.797791,59,4419.473121
-63.038302,1600,4419.917582
-114.540303,59,4419.935263
-19.798672,1600,4502.824516
-33.410542,1600,4503.318489
-33.006365,1600,4503.774654
-32.51023,1600,4504.216526
-31.098753,1600,4504.658336
-59.121094,1600,4587.875555
-32.709358,1600,4588.371129
-118.348045,233,4588.438239
-67.69805,1600,4588.887242
-114.69363,222,4588.950403
-35.212964,1600,4672.460683
-35.569658,1600,4672.899388
-35.826419,1600,4673.354184
-39.197857,1600,4673.795143
-35.50946,1600,4674.239631
-73.790815,1600,4758.884357
-77.284527,1600,4759.335928
-51.439325,1600,4759.807851
-35.074531,1600,4760.257695
-80.126304,1600,4760.705492
-40.021332,1600,4844.700815
-64.50333,1600,4845.12198
-39.606831,1600,4845.604177
-77.351077,1600,4846.036311
-44.780534,1600,4846.523407
-71.834508,1600,4930.455652
-72.792796,1600,4930.906755
-70.599227,1600,4931.352251
-76.647892,1600,4931.802802
-89.319552,1600,4932.248086
-50.500697,1600,5016.427857
-50.661141,1600,5016.870216
-54.321013,1600,5017.313903
-59.77393,1600,5017.754663
-55.71236,1600,5018.195372
-43.408879,1600,5102.666304
-61.180631,1600,5103.119622
-48.277085,1600,5103.612324
-50.046283,1600,5104.068242
-57.120766,1600,5104.533851
-38.665903,1600,5189.55372
-35.035627,1600,5190.006519
-23.973866,1600,5190.519928
-32.010921,1600,5191.094127
-35.102236,1600,5191.581017
-22.474516,1600,5277.273068
-83.591629,1600,5277.758077
-19.813364,1600,5278.246882
-26.902478,1600,5278.738417
-19.532379,1600,5279.235811
-75.073227,1600,5373.920756
-77.218206,1600,5374.421466
-54.93507,1600,5374.923773
-72.302804,1600,5375.4163
-74.006022,1600,5375.90545
-19.95951,1600,5464.753984
-25.332994,1600,5465.229346
-21.986359,1600,5465.746748
-18.051102,1600,5466.227188
-16.147823,1600,5466.749707
-43.524473,1600,5554.021826
-119.656853,71,5554.047498
-119.021477,71,5554.071906
-119.5877,71,5554.096372
-120.891909,75,5554.121466
-62.214376,1600,5649.317997
-40.584599,1600,5649.774356
-79.613576,1600,5650.228117
-66.837374,1600,5650.70318
-50.250605,1600,5651.190672
-31.437038,1600,5736.256797
-79.252184,1600,5736.773472
-78.015582,1600,5737.269083
-121.811685,192,5737.325678
-50.651524,1600,5737.792905
-57.345634,1600,5839.786101
-38.837992,1600,5840.34279
-39.216803,1600,5840.940277
-41.322063,1600,5841.574817
-57.998296,1600,5842.084991
-42.909125,1600,5963.945836
-46.442438,1600,5964.707805
-54.558739,1600,5965.430114
-38.371957,1600,5966.016385
-52.2961,1600,5966.767474
-120.891967,185,6066.65285
-46.4357,1600,6067.151043
-40.130136,1600,6067.662587
-83.038104,1600,6068.170537
-47.649536,1600,6068.682135
-65.579315,1600,6163.992591
-61.723944,1600,6164.484912
-58.612663,1600,6164.98606
-58.9771,1600,6165.504802
-78.029017,1600,6165.994837
-52.631243,1600,6259.329907
-38.581885,1600,6259.812386
-53.168735,1600,6260.30091
-51.452774,1600,6260.808439
-52.014413,1600,6261.292953
-82.489219,1600,6355.583568
-37.434063,1600,6356.203424
-62.808909,1600,6356.716565
-40.73082,1600,6357.358779
-85.004162,1600,6357.901791
-54.352778,1600,6462.61382
-72.592314,1600,6463.134659
-42.981134,1600,6463.646932
-113.52022,68,6463.669494
-44.457212,1600,6464.158981
-35.577761,1600,6564.219359
-94.870395,1600,6564.834787
-51.135751,1600,6565.619598
-44.47334,1600,6566.196102
-89.375941,1600,6566.912106
-62.40883,1600,6677.739255
-71.794564,1600,6678.32234
-68.300234,1600,6679.274857
-55.824737,1600,6679.874345
-68.363672,1600,6680.498627
-37.111226,1600,6782.714571
-44.440021,1600,6783.245834
-46.612389,1600,6783.766966
-112.197429,1600,6784.390908
-39.866212,1600,6784.923277
-39.418025,1600,6876.62298
-134.972996,176,6876.685743
-40.933288,1600,6877.217729
-22.057043,1600,6877.764077
-49.286812,1600,6878.263409
-40.42734,1600,6972.198581
-113.943548,251,6972.276014
-42.698001,1600,6972.80539
-45.478448,1600,6973.401294
-42.863523,1600,6973.875357
-25.469183,1600,7068.374988
-21.193643,1600,7068.893319
-41.087188,1600,7069.415917
-61.921898,1600,7069.959975
-76.181116,1600,7070.462874
-83.783605,1600,7157.891004
-50.992278,1600,7158.369216
-134.38103,603,7158.548135
-126.254104,358,7158.654202
-112.415968,231,7158.723667
-24.988178,1600,7246.258837
-121.187165,300,7246.352595
-53.165909,1600,7246.859294
-115.132751,254,7246.940915
-124.521307,151,7246.989608
-80.874809,1600,7336.343897
-96.658204,1600,7336.863245
-56.404851,1600,7337.360089
-30.708561,1600,7337.854133
-87.389839,1600,7338.331937
-75.426446,1600,7426.871166
-42.066643,1600,7427.373603
-61.902782,1600,7427.888478
-62.071238,1600,7428.376838
-68.507008,1600,7428.914645
-80.160739,1600,7517.777053
-86.199547,1600,7518.261488
-85.99709,1600,7518.746006
-78.443928,1600,7519.231623
-81.765079,1600,7519.727151
-102.347524,1600,7608.693784
-36.473633,1600,7609.189316
-29.937752,1600,7609.684739
-49.918877,1600,7610.165241
-73.176314,1600,7610.636331
-33.349797,1600,7691.972039
-53.105211,1600,7692.437862
-22.890232,1600,7692.884956
-60.886407,1600,7693.34814
-24.538404,1600,7693.773339
-61.416139,1600,7774.818215
-45.603928,1600,7775.292629
-63.282023,1600,7775.749324
-127.682258,230,7775.815782
-77.843898,1600,7776.290504
-35.28874,1600,7857.535241
-125.395086,122,7857.573661
-43.592854,1600,7858.056735
-108.834104,179,7858.111633
-54.892048,1600,7858.680785
-36.592596,1600,7954.565383
-118.192097,117,7954.605504
-90.87729,1600,7955.105887
-84.617701,1600,7955.619629
-66.479754,1600,7956.146018
-55.611093,1600,8048.086755
-57.349947,1600,8048.615168
-49.25763,1600,8049.161535
-74.279462,1600,8049.689787
-137.234174,251,8049.773657
-83.097075,1600,8145.165448
-109.868082,189,8145.224103
-69.727889,1600,8145.698926
-36.731052,1600,8146.165973
-33.140127,1600,8146.648509
-50.695657,1600,8243.603224
-50.453407,1600,8244.085415
-47.7027,1600,8244.565417
-49.80466,1600,8245.045205
-50.716339,1600,8245.532065
-63.816158,1600,8340.891231
-41.020775,1600,8341.523739
-53.861701,1600,8342.033747
-51.199033,1600,8342.551592
-59.180281,1600,8343.034849
-21.853826,1600,8446.267333
-33.982646,1600,8446.846032
-22.110628,1600,8447.400121
-55.918439,1600,8447.975352
-23.857918,1600,8448.593953
-63.060979,1600,8551.610475
-51.801067,1600,8552.182834
-48.864099,1600,8552.758936
-50.397138,1600,8553.300053
-62.164617,1600,8553.843665
-42.075085,1600,8655.55504
-41.263429,1600,8656.357284
-46.554216,1600,8656.877075
-36.979342,1600,8657.399282
-34.556078,1600,8657.915473
-96.997675,1600,8752.462082
-85.828301,1600,8752.96098
-87.526799,1600,8753.453761
-87.199624,1600,8753.942364
-86.817994,1600,8754.433305
-29.507234,1600,8851.083537
-25.325793,1600,8851.584758
-28.643911,1600,8852.088118
-24.914842,1600,8852.582566
-30.387488,1600,8853.086576
-104.313621,1600,8950.958363
-115.581838,1600,8951.50228
-53.752692,1600,8952.109463
-115.679157,1600,8952.776076
-107.383574,1600,8953.431682
-40.015447,1600,9052.630593
-116.289391,1600,9053.176287
-136.957692,321,9053.278093
-41.869382,1600,9053.788028
-117.061737,1600,9054.359473
-60.540124,1600,9154.433657
-20.856554,1600,9154.961766
-40.548785,1600,9155.534739
-42.963623,1600,9156.254726
-16.032256,1600,9156.919584
-47.595956,1600,9260.159437
-91.244839,1600,9260.689597
-46.637825,1600,9261.169661
-45.925697,1600,9261.648313
-89.544731,1600,9262.132224
-36.349686,1600,9360.084314
.60808
-121.027431,86,3480.292783
-72.796477,1600,3492.530752
-115.658303,134,3493.606996
-117.035177,223,3495.400276
-66.652063,1600,3508.26999
-142.952191,1109,3519.477198
-113.33761,103,3520.305559
-132.306708,287,3522.620967
-134.583768,530,3526.901933
-119.632549,228,3528.731612
-136.368135,624,3533.808463
-58.099515,1600,3546.798804
-53.710287,1600,3561.659437
-130.148714,752,3567.302409
-100.38426,1600,3581.351949
-73.760014,1600,3595.912638
-129.372882,753,3604.88715
-92.643132,1600,3620.727391
-90.931586,1600,3634.955487
-76.900409,1600,3647.829297
-74.890759,1600,3660.984332
-118.322911,181,3662.444235
-88.521147,1600,3675.354165
-81.357829,1600,3690.806366
-113.600102,130,3691.84047
-114.267822,246,3693.808875
-112.45356,56,3694.260122
-66.438307,1600,3707.115646
-43.136246,1600,3719.693405
-50.341051,1600,3733.893086
-74.530182,1600,3748.058761
-124.612438,223,3749.933254
-116.233592,103,3751.030218
-50.511082,1600,3765.176746
-48.829803,1600,3780.129309
-112.473912,53,3780.720463
-115.087146,138,3782.078657
-53.219412,1600,3796.9093
-43.972022,1600,3811.645288
-120.563632,193,3813.426047
-84.702309,1600,3828.166094
-100.44218,71,3828.753972
-108.238195,85,3829.467573
-104.841307,103,3830.318114
-110.244676,133,3831.428879
-67.829659,1600,3845.091949
-150.886514,525,3849.397929
-106.025944,90,3850.146949
-100.704485,111,3851.05644
-110.380134,79,3851.72103
-195.187394,1571,3866.300993
-82.669224,1600,3879.351896
-131.020663,497,3883.883577
-72.494378,1600,3897.494446
-69.536456,1600,3912.621999
-136.846028,740,3918.708651
-113.813254,246,3920.811586
-160.378766,997,3929.076027
-152.102408,704,3935.483055
-120.916907,129,3936.657628
-145.205662,627,3941.959171
-80.923418,1600,3956.284177
-157.469428,841,3964.198504
-111.120581,179,3965.89605
-119.854085,158,3967.646709
-120.189327,240,3969.84326
-106.365185,139,3971.090063
-96.691748,1600,3987.544908
-69.523295,1600,4002.991732
-156.975697,548,4007.857375
-84.525476,1600,4022.081603
-135.658253,1600,4035.490031
-119.699286,1600,4050.938236
-118.064341,467,4055.495859
-84.78599,1600,4070.48705
-105.02436,1600,4085.622914
-63.305237,1600,4100.008954
-129.485307,579,4105.091201
-94.35628,1600,4119.446436
-93.461544,1600,4133.190184
-61.423604,1600,4149.424957
-98.726298,1600,4163.37227
-79.28616,1600,4176.920436
-74.733112,1600,4190.199135
-61.212956,1600,4203.51844
-65.472283,1600,4218.641877
-40.780558,1600,4234.228365
-51.377073,1600,4251.001993
-63.276261,1600,4270.385846
-61.259508,1600,4288.21578
-55.134357,1600,4305.284782
-110.25206,309,4308.333045
-146.133811,422,4312.320755
-69.459487,1600,4327.286695
-64.619462,1600,4343.139139
-64.315491,1600,4358.142591
-37.468836,1600,4372.278814
-59.649512,1600,4386.304471
-70.510591,1600,4399.594676
-115.711608,151,4400.844925
-78.247188,1600,4414.38504
-75.285957,1600,4428.225776
-75.09851,1600,4441.454795
-69.046057,1600,4454.393038
-63.841141,1600,4467.500213
-61.967045,1600,4480.923136
-61.608178,1600,4494.013792
-53.127673,1600,4509.846789
-51.349787,1600,4522.998556
-57.601068,1600,4535.935526
-154.771966,660,4541.318344
-55.143155,1600,4554.565727
-51.14038,1600,4568.073363
-126.630983,100,4568.887764
-158.480409,715,4574.751153
-42.528184,1600,4589.561279
-37.751326,1600,4603.089045
-20.624371,1600,4615.905962
-60.410154,1600,4629.423561
-26.492924,1600,4642.681008
-43.873971,1600,4656.120978
-48.151696,1600,4669.352053
-48.98913,1600,4684.92703
-79.130571,1600,4698.161302
-80.629929,1600,4711.736091
-74.096072,1600,4725.225465
-76.239202,1600,4738.69574
-142.302337,190,4740.288888
-78.385466,1600,4753.923759
-38.442238,1600,4769.145734
-43.381131,1600,4782.743839
-51.909222,1600,4795.990315
-50.316499,1600,4809.561201
-114.494167,168,4810.94184
-109.3384,1600,4824.274483
-42.900607,1600,4837.88544
-85.665774,1600,4853.481075
-17.375812,1600,4866.998478
-95.112109,1600,4880.293549
-98.301016,82,4880.980351
-28.565641,1600,4894.474976
-29.856249,1600,4907.77992
-20.874095,1600,4921.224865
-48.952401,1600,4936.551605
-100.582179,1600,4949.89236
-107.146253,1600,4963.4997
-102.563401,1600,4976.827026
-83.85768,1600,4990.356611
-69.165869,1600,5003.320023
-113.716659,197,5004.952182
-89.686656,1600,5020.785812
-63.355279,1600,5034.045734
-65.38213,1600,5047.88716
-84.286775,1600,5061.200948
-98.647167,1600,5074.777691
-70.47535,1600,5087.810612
-60.297736,1600,5101.327414
-43.411092,1600,5117.214394
-169.394204,1179,5127.122645
-158.217227,704,5133.260626
-144.189749,334,5136.071139
